video_queue_rank,video_score,staging_label,recommended_action,run_id,run_in_selected_freeze,channel_niche,channel_id,video_id,video_url,title,published_at,candidate_threads,skeptical_or_proof_threads,top_comment_skeptical_or_proof,max_thread_score,mean_thread_score,high_engagement_threads,disagreement_threads,video_ai_signal,historical_skeptic_channel
72,6.779249729359883,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,oDO_hTtQedQ,https://www.youtube.com/watch?v=oDO_hTtQedQ,Best Upcoming Jobs (2026 - 2030),2026-01-19T11:50:01Z,3,0,0,5.3974731126879485,4.8256207444639365,3,0,1,1
73,6.776538686634963,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,23,1,Tech,UCGM7A0ps5KuZ7hZidTv26Pg,I0MFM3EThpQ,https://www.youtube.com/watch?v=I0MFM3EThpQ,Race In A Foam Pit 🚗,2026-01-21T15:00:35Z,1,1,0,5.760650378298996,5.760650378298996,0,0,0,1
74,6.741264628596464,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Beauty,UC2GUcyD6KYjmU_ofQtPTSSA,nQ6T6JW7pSU,https://www.youtube.com/watch?v=nQ6T6JW7pSU,Applying lashes is easy!!.. but dont make this mistake!,2025-12-04T20:30:10Z,2,2,0,5.132097255395598,5.03301721441729,0,0,0,1
75,6.726538686634962,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UCfQNB91qRP_5ILeu_S_bSkg,8TbElbTsycc,https://www.youtube.com/watch?v=8TbElbTsycc,"How I made $19,000 in 15 minutes with AI #ai #cursor #chatgpt #entrepreneurship",2025-06-12T02:34:40Z,1,1,0,5.660650378298995,5.660650378298995,0,0,1,0
76,6.726538686634962,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UCfQNB91qRP_5ILeu_S_bSkg,ogYkla0Qn6A,https://www.youtube.com/watch?v=ogYkla0Qn6A,"Don't listen to the liars, the Rabbit R1 is MIND BLOWING #shorts",2024-05-03T18:13:38Z,1,1,0,5.660650378298995,5.660650378298995,0,0,1,0
77,6.726538686634962,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UCfQNB91qRP_5ILeu_S_bSkg,tw-g6pcMIdk,https://www.youtube.com/watch?v=tw-g6pcMIdk,WOW the world's first 100% AI generated commercial just released (built by Veo3) #ai #veo3,2025-06-13T03:23:49Z,1,1,0,5.660650378298995,5.660650378298995,0,0,1,0
78,6.726538686634962,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UCqcbQf6yw5KzRoDDcZ_wBSw,fxx4I4XmNOs,https://www.youtube.com/watch?v=fxx4I4XmNOs,YouTube is taken over by AI content channels and bots? Will AI make it harder for YouTube?,2025-07-02T12:01:31Z,1,1,0,5.660650378298995,5.660650378298995,0,0,1,0
79,6.726538686634962,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,23,1,Tech,UCHLGD4A8GjwGlbxtgo8cvWw,uEiqWUEk3Fo,https://www.youtube.com/watch?v=uEiqWUEk3Fo,“How I Create Talking AI Avatars with Heygen | Image to Video Tutorial”,2025-10-19T01:07:55Z,1,1,0,5.660650378298995,5.660650378298995,0,0,1,0
80,6.709167373200866,Exploratory candidate for validation - not paper-safe by default,queue_for_human_validation_then_optional_future_freeze_inclusion,17,0,Tech,UCbfYPyITQ-7l4upoX8nvctg,WNsSzX0L4Es,https://www.youtube.com/watch?v=WNsSzX0L4Es,NVIDIA’s Insane AI Found The Math Of Reality,2026-02-15T14:41:41Z,2,0,0,5.5,5.050000000000001,2,0,1,1
81,6.709167373200866,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,18,1,Tech,UCbfYPyITQ-7l4upoX8nvctg,9Mcv9vpGW5Q,https://www.youtube.com/watch?v=9Mcv9vpGW5Q,They Said It Was Impossible… This Simulation Solved It,2026-01-25T08:56:34Z,2,0,0,5.5,5.018475208389002,2,0,1,1
82,6.699825481774949,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,22,1,Tech,UCGM7A0ps5KuZ7hZidTv26Pg,d19cQkJc8C4,https://www.youtube.com/watch?v=d19cQkJc8C4,Kling 3.0 Changes AI Video Forever!,2026-02-09T18:54:57Z,1,0,0,5.733937173438982,5.733937173438982,0,0,1,1
83,6.663865222718477,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,22,1,Tech,UCGM7A0ps5KuZ7hZidTv26Pg,DzeTZLeeNn0,https://www.youtube.com/watch?v=DzeTZLeeNn0,Grok AI Video Generator Tutorial (48 hour test) #grokimagine,2026-02-05T17:49:37Z,1,0,0,5.69797691438251,5.69797691438251,0,0,1,1
84,6.655013408112798,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Beauty,UC2GUcyD6KYjmU_ofQtPTSSA,69R0jiZ-RXk,https://www.youtube.com/watch?v=69R0jiZ-RXk,"These products shocked me!!!! | KEEP, FIX, DUMP RETURNS!!",2026-02-09T20:30:00Z,2,1,0,5.395846034911933,4.876202711183915,2,0,0,1
85,6.652205784265293,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UCfQNB91qRP_5ILeu_S_bSkg,HkXjKz_ff4M,https://www.youtube.com/watch?v=HkXjKz_ff4M,The craziest AI vibe coding workflow ever #claude #ai #vibecoding #programming,2025-06-10T02:21:09Z,3,2,0,4.820429167593359,4.740635121076779,1,0,1,0
86,6.592497033488724,Exploratory candidate for validation - not paper-safe by default,queue_for_human_validation_then_optional_future_freeze_inclusion,17,0,Tech,UCbfYPyITQ-7l4upoX8nvctg,j-B8ymGWlIE,https://www.youtube.com/watch?v=j-B8ymGWlIE,Adobe & NVIDIA’s New Tech Shouldn’t Be Real Time. But It Is.,2026-02-22T09:50:35Z,2,0,0,5.383329660287858,4.912130170412908,2,0,1,1
87,6.565888308335967,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Beauty,UCWkYXtnAuu7VTLPwUcRSB6A,iCerBZ8IPEU,https://www.youtube.com/watch?v=iCerBZ8IPEU,KYLIE BABY: Introducing My Kylie Baby Gentle Shampoo and Conditioner,2021-09-23T21:06:49Z,1,1,0,5.8,5.8,1,0,0,0
88,6.565888308335967,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,18,1,Tech,UCiT9RITQ9PW6BhXK0y2jaeg,w13zJB_jyBI,https://www.youtube.com/watch?v=w13zJB_jyBI,The Harsh Reality of the Data Job Market,2023-08-24T11:30:19Z,1,1,0,5.8,5.8,1,0,0,0
89,6.565888308335967,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,18,1,Beauty,UCkvK_5omS-42Ovgah8KRKtg,wv-BbSdZkLo,https://www.youtube.com/watch?v=wv-BbSdZkLo,Psychedelic Circus 🍄 Palette & Collection Reveal! | Jeffree Star Cosmetics,2022-11-06T18:00:08Z,1,1,0,5.8,5.8,1,0,0,0
90,6.565870543592584,Exploratory candidate for validation - not paper-safe by default,queue_for_human_validation_then_optional_future_freeze_inclusion,17,0,Tech,UCbfYPyITQ-7l4upoX8nvctg,vsK4Gb7Eys8,https://www.youtube.com/watch?v=vsK4Gb7Eys8,Physics Simulation Just Crossed A Line,2026-02-10T10:50:11Z,2,0,0,5.356703170391718,4.831402747977796,2,0,1,1
91,6.5597782751477425,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCqcbQf6yw5KzRoDDcZ_wBSw,yuW0939jtco,https://www.youtube.com/watch?v=yuW0939jtco,the SCARIEST chart in AI,2026-02-24T04:45:50Z,2,1,0,5.250610901946877,4.775305450973439,2,0,1,0
92,6.526538686634963,Exploratory candidate for validation - not paper-safe by default,queue_for_human_validation_then_optional_future_freeze_inclusion,17,0,Beauty,UCdq0b9cF2K7faJqYhG4pqgA,8tpdlIm5-8E,https://www.youtube.com/watch?v=8tpdlIm5-8E,#makeup,2026-01-17T17:40:41Z,1,1,1,5.760650378298996,5.760650378298996,0,0,0,0
93,6.486636588108842,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCrB7UFnkosBjAhOg3a9NdWw,ZbeWyaWUq4M,https://www.youtube.com/watch?v=ZbeWyaWUq4M,Google AI Just Powered Up Your Marketing Team Massively,2025-11-21T13:01:27Z,2,2,0,4.8274692149079765,4.8274692149079765,0,0,1,0
94,6.471820334487503,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UCYO_jab_esuFRV4b17AJtAw,KHEtJUlpqcg,https://www.youtube.com/watch?v=KHEtJUlpqcg,LLMs are next-word predictors,2024-11-04T15:24:37Z,1,1,0,5.705932026151536,5.705932026151536,1,0,0,0
95,6.471000674299758,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Beauty,UC2GUcyD6KYjmU_ofQtPTSSA,v_K5yfl2690,https://www.youtube.com/watch?v=v_K5yfl2690,"powder blush isn't dead, you're just applying it wrong #makeuphacks #makeup",2026-02-13T20:30:00Z,2,1,0,5.211833301098893,4.799506567692047,2,0,0,1
96,6.432021666533344,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,1kFouZyNWoc,https://www.youtube.com/watch?v=1kFouZyNWoc,Ranking The Best AI Chatbots,2025-11-23T19:00:02Z,2,0,0,5.222854293332478,5.205625152131736,2,0,1,1
97,6.3583240266376375,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Beauty,UC2GUcyD6KYjmU_ofQtPTSSA,6sssFVr7HuI,https://www.youtube.com/watch?v=6sssFVr7HuI,Blush positioning MADE EASY! #blush #makeup #tirtir #kbeauty,2026-02-17T20:30:00Z,2,1,0,5.099156653436772,4.749578326718386,1,0,0,1
98,6.313182084204954,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCPjNBjflYl0-HQtUvOx0Ibw,VE2Uxb9Fz7I,https://www.youtube.com/watch?v=VE2Uxb9Fz7I,Claude Cowork Explained,2026-02-12T14:51:02Z,1,1,0,5.247293775868988,5.247293775868988,0,0,1,0
99,6.307640888124117,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Beauty,UC2GUcyD6KYjmU_ofQtPTSSA,SIna06hx7OI,https://www.youtube.com/watch?v=SIna06hx7OI,Foundation Blending Mistake You're Making Right Now! #FOUNDATION #makeup #skincare,2026-02-24T20:30:00Z,2,1,0,5.048473514923251,4.720158197377485,1,0,0,1
100,6.306187943873543,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Beauty,UC0Ivl90_ODMVvFuuSyFcVwg,e5oBtKQZ-Oo,https://www.youtube.com/watch?v=e5oBtKQZ-Oo,My Simple Morning Routine🥰 | Morning Routine Vlog Vlog | @AshnoorKaurOfficial ,2026-02-01T12:30:06Z,1,1,0,5.540299635537576,5.540299635537576,1,0,0,0
101,6.24886537577263,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,OCfE68lxHDo,https://www.youtube.com/watch?v=OCfE68lxHDo,3 AI Tools for 2026,2025-12-30T15:00:48Z,2,0,0,5.039698002571765,4.893495889220376,1,0,1,1
102,6.235938352035106,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Beauty,UC0Ivl90_ODMVvFuuSyFcVwg,2ajUUT0RRVA,https://www.youtube.com/watch?v=2ajUUT0RRVA,Full podcast coming soon🤍 #bodypositivity #ashnoorkaur #podcast #trending #selflove #bekind #foryou,2026-01-18T15:38:58Z,1,1,0,5.470050043699139,5.470050043699139,1,0,0,0
103,6.123279985678836,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,2mZL747W6Wg,https://www.youtube.com/watch?v=2mZL747W6Wg,Find Mentors In Your 20s,2026-02-15T14:00:05Z,2,0,0,4.91411261247797,4.8812930637006104,0,0,1,1
104,6.122492515399979,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCPjNBjflYl0-HQtUvOx0Ibw,RB_M2mKiOcY,https://www.youtube.com/watch?v=RB_M2mKiOcY,Claude Code & MCPs built my $145K marketing machine,2026-03-02T18:10:00Z,1,1,0,5.056604207064012,5.056604207064012,1,0,1,0
105,6.109073603782476,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,DsKZpgoy830,https://www.youtube.com/watch?v=DsKZpgoy830,Every AI Model Explained,2026-02-27T13:00:33Z,1,0,0,5.143185295446509,5.143185295446509,1,0,1,1
106,6.092339944196313,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCqcbQf6yw5KzRoDDcZ_wBSw,nt3P2dGJfNg,https://www.youtube.com/watch?v=nt3P2dGJfNg,GEMINI 3.1 PRO is the new era...,2026-02-19T20:34:54Z,2,0,0,5.133172570995447,4.709070631909355,2,0,1,0
107,6.091118508097851,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2ojq-nuP8ceeHqiroeKhBA,4efAzBiTeVo,https://www.youtube.com/watch?v=4efAzBiTeVo,Turn Any Website Into LLM Ready Data INSTANTLY,2026-02-11T13:17:56Z,2,1,0,4.781951134896985,4.776329559218439,1,0,1,0
108,6.076883883760086,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCwAnu01qlnVg1Ai2AbtTMaA,4Fu23_l9F_o,https://www.youtube.com/watch?v=4Fu23_l9F_o,Master 80% of Notion with this ONE Feature,2025-11-18T13:00:11Z,1,1,0,5.010995575424119,5.010995575424119,0,0,1,0
109,6.0747689980697555,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Beauty,UCCvoAe__WFYMNAEN-C-CtYA,qjqu_7_DxLs,https://www.youtube.com/watch?v=qjqu_7_DxLs,How to apply concealer over 40,2023-11-29T15:00:49Z,1,1,0,5.308880689733789,5.308880689733789,1,0,0,0
110,6.070997490554123,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,SB98c6Ti8mc,https://www.youtube.com/watch?v=SB98c6Ti8mc,3 Goals for 2026,2026-01-02T19:41:41Z,2,0,0,4.861830117353257,4.832859632142084,0,0,1,1
111,6.065888308335967,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Beauty,UCWkYXtnAuu7VTLPwUcRSB6A,bYwDiLgIA3A,https://www.youtube.com/watch?v=bYwDiLgIA3A,Stassie x Kylie: Introducing Our Collab,2022-06-11T20:01:50Z,1,1,0,5.3,5.3,1,0,0,0
112,6.062221978202637,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,18,1,Tech,UCiT9RITQ9PW6BhXK0y2jaeg,Hyhfa7z0jTk,https://www.youtube.com/watch?v=Hyhfa7z0jTk,How Does ChatGPT Image Analysis Do on an IQ Test?,2023-11-30T12:00:22Z,2,1,0,4.753054605001772,4.706852491650384,1,0,1,0
113,6.0511917588019895,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,18,1,Lifestyle,UC-kc7_m0l9Wkm_c3saiWpiQ,jTOXDpocVHA,https://www.youtube.com/watch?v=jTOXDpocVHA,When Holiday Turned Into Tragedy,2026-01-06T14:01:47Z,1,1,0,5.035303450466023,5.035303450466023,0,0,0,1
114,6.037000614442845,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,chr4e7xo_OY,https://www.youtube.com/watch?v=chr4e7xo_OY,Will this AI thing happen in the next 5 years?,2025-12-08T15:01:15Z,1,0,0,5.071112306106878,5.071112306106878,1,0,1,1
115,6.015888308335968,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCqcbQf6yw5KzRoDDcZ_wBSw,qMWeIXdyE2Y,https://www.youtube.com/watch?v=qMWeIXdyE2Y,Anthropic might be DONE (48 hours left),2026-02-26T02:52:36Z,1,0,0,5.300000000000001,5.300000000000001,1,0,1,0
116,6.007419155900802,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,aVx5bfR6xmw,https://www.youtube.com/watch?v=aVx5bfR6xmw,⚠️ 3 AI Tools That Should Be Illegal,2025-10-10T07:13:16Z,1,0,0,5.041530847564835,5.041530847564835,1,0,1,1
117,6.007144287583374,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,j5fQqIVxpOk,https://www.youtube.com/watch?v=j5fQqIVxpOk,Summarize With Comet,2026-01-30T10:48:12Z,2,0,0,4.797976914382509,4.7659570439107455,0,0,1,1
118,5.9851659793164655,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCrB7UFnkosBjAhOg3a9NdWw,l_Iy4ZCK1lY,https://www.youtube.com/watch?v=l_Iy4ZCK1lY,Claude Cowork Just Changed How You Do Marketing,2026-02-06T13:01:26Z,1,1,0,4.919277670980499,4.919277670980499,0,0,1,0
119,5.9698177514998605,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCwSozl89jl2zUDzQ4jGJD3g,Ks__4nZbOWE,https://www.youtube.com/watch?v=Ks__4nZbOWE,Best AI Prompts I’ve Ever Used That Actually Get Results,2026-01-08T22:12:46Z,2,1,0,4.660650378298995,4.611240247826126,0,0,1,0
120,5.969777455266875,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCiq1FIgtEK7LRAOB1JXTPig,6es0HhfpQlQ,https://www.youtube.com/watch?v=6es0HhfpQlQ,Mel Robbins: How to Get Ahead in 2026 When Everything Feels Uncertain,2026-01-05T15:00:24Z,1,1,0,4.903889146930909,4.903889146930909,0,0,1,0
121,5.9683628044149435,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCqcbQf6yw5KzRoDDcZ_wBSw,OHJb4Hr_0Sg,https://www.youtube.com/watch?v=OHJb4Hr_0Sg,the end of OpenClaw,2026-02-17T02:29:42Z,1,0,0,5.252474496078976,5.252474496078976,1,0,1,0
122,5.956461149069853,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,Ifc9Jj-wOaQ,https://www.youtube.com/watch?v=Ifc9Jj-wOaQ,Move Fast And Break Things,2026-02-21T15:00:25Z,2,0,0,4.747293775868988,4.697293775868988,0,0,1,1
123,5.944040661757464,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UCqcbQf6yw5KzRoDDcZ_wBSw,5tx0CdUJYFw,https://www.youtube.com/watch?v=5tx0CdUJYFw,My new calling in life... Arpeggiator is open source on Hugging Face,2025-06-27T17:00:54Z,1,1,0,4.8781523534214974,4.8781523534214974,0,0,1,0
124,5.938259591379661,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UCwAnu01qlnVg1Ai2AbtTMaA,BF2k_fKuCVM,https://www.youtube.com/watch?v=BF2k_fKuCVM,AI Agents explained in 3 steps,2025-05-08T13:18:56Z,1,0,0,5.222371283043694,5.222371283043694,1,0,1,0
125,5.9344828408029455,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UCqcbQf6yw5KzRoDDcZ_wBSw,IAKAfvYh434,https://www.youtube.com/watch?v=IAKAfvYh434,"Elon Musk goes SCORCHED EARTH - Grok 4, Neuralink and Tesla go BOOM!  #ai #llm #agi",2025-06-28T20:10:12Z,1,1,0,4.868594532466979,4.868594532466979,0,0,1,0
126,5.921009267971348,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,22,1,Lifestyle,UCFYmHH-NN77kuOjd9nAFk0A,mc51WcBhhng,https://www.youtube.com/watch?v=mc51WcBhhng,"Testing Absolutely Unhinged ""Pickup Lines"" on Fubuki ai 😭🙏",2025-12-29T16:59:46Z,1,0,0,5.205120959635381,5.205120959635381,1,0,1,0
127,5.900102198550113,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCPjNBjflYl0-HQtUvOx0Ibw,gmSnQPzoYHA,https://www.youtube.com/watch?v=gmSnQPzoYHA,Claude Opus 4.6 vs GPT-5.3 Codex,2026-02-06T22:10:00Z,1,0,0,5.184213890214146,5.184213890214146,1,0,1,0
128,5.899825481774948,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCiq1FIgtEK7LRAOB1JXTPig,czItVEAINqw,https://www.youtube.com/watch?v=czItVEAINqw,"$1.3B AI CEO: ""You ONLY Need 2 People and 90 Days to Build a $1M Business"" | Higgsfield Founder",2026-03-03T13:01:11Z,1,1,0,4.833937173438981,4.833937173438981,0,0,1,0
129,5.893357523243943,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCrB7UFnkosBjAhOg3a9NdWw,yEqwsGD3gQI,https://www.youtube.com/watch?v=yEqwsGD3gQI,From Idea to Product Using AI in 18 minutes (Vibe Coding),2025-08-29T13:02:04Z,1,1,0,4.8274692149079765,4.8274692149079765,0,0,1,0
130,5.893357523243943,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCwSozl89jl2zUDzQ4jGJD3g,56IeB1CZEYY,https://www.youtube.com/watch?v=56IeB1CZEYY,Claude Cowork Is the First AI That Feels Like a Real Employee,2026-02-20T21:45:15Z,1,1,0,4.8274692149079765,4.8274692149079765,0,0,1,0
131,5.893357523243943,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UCrB7UFnkosBjAhOg3a9NdWw,l_Iy4ZCK1lY,https://www.youtube.com/watch?v=l_Iy4ZCK1lY,Claude Cowork Just Changed How You Do Marketing,2026-02-06T13:01:26Z,1,1,0,4.8274692149079765,4.8274692149079765,0,0,1,0
132,5.863865222718475,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCfQNB91qRP_5ILeu_S_bSkg,vxpuLIA17q4,https://www.youtube.com/watch?v=vxpuLIA17q4,You're Using OpenClaw Wrong If You Don't Use Discord,2026-02-24T22:33:59Z,1,1,0,4.797976914382509,4.797976914382509,0,0,1,0
133,5.863182084204955,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Beauty,UC2GUcyD6KYjmU_ofQtPTSSA,8KOfU8celBs,https://www.youtube.com/watch?v=8KOfU8celBs,Lip swatches of some new Risky lip glosses!,2025-12-12T20:30:03Z,1,1,0,4.847293775868988,4.847293775868988,0,0,0,1
134,5.859167373200866,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Beauty,UCzTKskwIc_-a0cGvCXA848Q,61RIyqJJRSE,https://www.youtube.com/watch?v=61RIyqJJRSE,finding my “natural unnatural skin color” 🫢🩵,2025-08-18T17:31:40Z,2,2,0,4.5,4.5,2,0,0,0
135,5.859167373200866,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Beauty,UCzTKskwIc_-a0cGvCXA848Q,cwWE2na-UOY,https://www.youtube.com/watch?v=cwWE2na-UOY,temporary GLITTER eye tattoos?! 🫢👀✨,2025-12-21T18:33:13Z,2,2,0,4.5,4.463215403040045,2,0,0,0
136,5.859167373200866,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,18,1,Tech,UCV0qA-eDDICsRR9rPcnG7tw,KHEZCXfyxjU,https://www.youtube.com/watch?v=KHEZCXfyxjU,if Wolf of Wall Street were about crypto,2022-04-08T15:00:28Z,2,2,0,4.5,4.417584734555568,2,0,0,0
137,5.847157356317655,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,-c5YbMMm3xA,https://www.youtube.com/watch?v=-c5YbMMm3xA,Lessons from My 20s,2026-01-25T18:25:15Z,1,0,0,4.881269047981688,4.881269047981688,0,0,1,1
138,5.84684164913625,Exploratory candidate for validation - not paper-safe by default,queue_for_human_validation_then_optional_future_freeze_inclusion,12,0,Tech,UCqcbQf6yw5KzRoDDcZ_wBSw,jFIBotuTZT4,https://www.youtube.com/watch?v=jFIBotuTZT4,GPT 5.4 leaks,2026-03-05T05:47:49Z,1,0,0,5.130953340800283,5.130953340800283,1,0,1,0
139,5.838774333994054,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCwAnu01qlnVg1Ai2AbtTMaA,B23W1gRT9eY,https://www.youtube.com/watch?v=B23W1gRT9eY,Top 6 AI Trends That Will Define 2026 (backed by data),2026-01-06T13:00:31Z,1,0,0,5.122886025658087,5.122886025658087,1,0,1,0
140,5.838122498791655,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCqcbQf6yw5KzRoDDcZ_wBSw,jFIBotuTZT4,https://www.youtube.com/watch?v=jFIBotuTZT4,GPT 5.4 leaks,2026-03-05T05:47:49Z,1,0,0,5.122234190455688,5.122234190455688,1,0,1,0
141,5.826275595734758,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,D-d4Y6v-pDs,https://www.youtube.com/watch?v=D-d4Y6v-pDs,🐙 Building Agents in 2026 (major updates!),2026-02-14T14:19:23Z,1,0,0,4.860387287398791,4.860387287398791,0,0,1,1
